24 27
 0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0,
 15,16,15,16,15,16,15,16,15,16,15,16,9 ,10,15,16,15,16,15,16,15,16,15,16,
 17,18,17,18,17,18,17,18,17,18,17,18,3 ,4 ,17,18,17,18,17,18,17,18,17,18,
 15,16,9 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,5 ,14,13,5 ,5 ,5 ,5 ,5 ,5 ,5 ,10,15,16,
 17,18,3 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,4 ,17,18,
 15,16,3 ,11,6 ,6 ,6 ,6 ,6 ,6 ,12,2 ,11,6 ,6 ,6 ,6 ,6 ,6 ,12,2 ,4 ,15,16,
 17,18,3 ,4 ,1 ,1 ,1 ,1 ,1 ,1 ,3 ,2 ,4 ,1 ,1 ,1 ,1 ,1 ,1 ,3 ,2 ,4 ,17,18,
 15,16,3 ,4 ,1 ,1 ,1 ,1 ,1 ,1 ,3 ,2 ,4 ,1 ,1 ,1 ,1 ,1 ,1 ,3 ,2 ,4 ,15,16,
 17,18,3 ,4 ,1 ,1 ,1 ,1 ,1 ,1 ,3 ,2 ,4 ,1 ,1 ,1 ,1 ,1 ,1 ,3 ,2 ,4 ,17,18,
 15,16,3 ,4 ,1 ,1 ,1 ,1 ,1 ,1 ,3 ,2 ,4 ,1 ,1 ,1 ,1 ,1 ,1 ,3 ,2 ,4 ,15,16,
 17,18,3 ,13,5 ,2 ,13,5 ,5 ,5 ,14,2 ,13,5 ,2 ,13,5 ,5 ,5 ,14,2 ,4 ,17,18,
 15,16,3 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,4 ,15,16,
 17,18,3 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,4 ,17,18,
 15,16,3 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,11,6 ,6 ,6 ,6 ,6 ,6 ,6 ,12,4 ,15,16,
 17,18,3 ,2 ,11,6 ,6 ,6 ,6 ,6 ,12,2 ,4 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,3 ,4 ,17,18,
 15,16,3 ,2 ,4 ,1 ,1 ,1 ,1 ,1 ,3 ,2 ,4 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,3 ,4 ,15,16,
 17,18,3 ,2 ,4 ,1 ,1 ,1 ,1 ,1 ,3 ,2 ,4 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,3 ,4 ,17,18,
 15,16,3 ,2 ,4 ,1 ,1 ,1 ,1 ,1 ,3 ,2 ,4 ,1 ,1 ,1 ,1 ,1 ,1 ,1 ,3 ,4 ,15,16,
 17,18,3 ,2 ,4 ,1 ,1 ,1 ,1 ,1 ,3 ,2 ,13,5 ,5 ,5 ,5 ,5 ,5 ,5 ,14,4 ,17,18,
 15,16,3 ,2 ,13,5 ,5 ,5 ,5 ,5 ,14,2 ,11,6 ,6 ,6 ,6 ,6 ,6 ,12,2 ,4 ,15,16,
 17,18,3 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,2 ,4 ,1 ,1 ,1 ,1 ,1 ,1 ,3 ,2 ,4 ,17,18,
 15,16,7 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,6 ,2 ,13,5 ,5 ,5 ,5 ,5 ,5 ,14,2 ,4 ,15,16,
